SNo,City,Province/State,Latitude,Longitude
1,Agartala,Tripura,23.50,91.16
2,Agra,Uttar Pradesh,27.11,78.01
3,Ahmedabad,Gujarat,23.02,72.35
4,Amritsar,Punjab,31.38,74.52
5,Bangalore,Karnataka,12.58,77.34
6,Chandigarh,N/A,30.45,76.47
7,Chennai (Madras),Tamil Nadu,13.05,80.16
8,Dibrugarh,Assam,27.29,95.00
9,Gangtok,Sikkim,27.20,88.37
10,Guwahati,Assam,26.11,91.44
11,Hyderabad,Andhra Pradesh,17.22,78.29
12,Jaipur,Rajasthan,26.56,75.49
13,Kandla,,23.03,70.11
14,Kanpur,Uttar Pradesh,26.28,80.20
15,Kochi,Kerala,9.58,76.17
16,Kolkata (Calcutta),West Bengal,22.34,88.22
17,Kulpahar,Uttar Pradesh,25.19,79.38
18,Lucknow,Uttar Pradesh,26.51,80.57
19,Ludhiana,Punjab,30.55,75.51
20,Mumbai (Bombay),Maharashtra,18.59,72.50
21,Nagpur,Maharashtra,21.08,79.05
22,New Delhi,Delhi,28.37,77.13
23,Patna,Bihar,25.37,85.09
24,Port Blair,Andaman and Nicobar Islands,11.40,92.46
25,Pune,Maharashtra,18.31,73.51
26,Shillong,Meghalaya,25.34,91.53
27,Shimla,Himachal Pradesh,31.06,77.10
28,Siliguri,West Bengal,26.43,88.26
29,Srinagar,Jammu and Kashmir,34.05,74.47
30,Surat,Gujarat,21.10,72.50
31,Tezpur,Assam,26.38,92.48
32,Trivandrum,Kerala,8.29,76.57
33,Visakhapatnam,Andhra Pradesh,17.41,83.13
